,Title,ID,Release Date,TMDb Score,TMDb Vote Count,Revenue,Budget,Genres,Genres ID,Production Companies,Release Year,Release Month,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5
88,Jumanji: The Next Level,512200,12/4/19,7,5718,630161890,108000000,"['Drama', 'Adventure', 'Science Fiction']","[18, 12, 878]","['Scott Free Productions', 'Mid Atlantic Films', 'International Traders', 'TSG Entertainment', 'Genre Films', '20th Century Fox']",2019,12,Drama,Adventure,Science Fiction,,
89,Fast & Furious Presents: Hobbs & Shaw,384018,8/1/19,6.9,4818,571006128,4000000,"['Drama', 'Romance', 'Thriller']","[18, 10749, 53]","['Focus Features', 'Michael De Luca Productions', 'Trigger Street Productions']",2019,8,Drama,Romance,Thriller,,
90,Ne Zha,615453,7/26/19,8,188,543514353,95000000,"['Romance', 'Fantasy', 'Family', 'Drama']","[10749, 14, 10751, 18]","['Walt Disney Pictures', 'Genre Films', 'Beagle Pug Films', 'Allison Shearmur Productions']",2019,7,Romance,Fantasy,Family,Drama,
91,How to Train Your Dragon: The Hidden World,166428,1/3/19,7.8,4484,532950503,135000000,"['Western', 'Drama', 'Adventure']","[37, 18, 12]","['Monarchy Enterprises S.a.r.l.', 'Regency Enterprises', 'Appian Way', 'CatchPlay', 'Anonymous Content', 'New Regency Pictures', 'Hong Kong Alpha Motion Pictures Co.', 'M Productions', 'RatPac-Dune Entertainment']",2019,1,Western,Drama,Adventure,,
92,Alha Sahma,747121,4/12/19,10,1,519311965,130000000,"['Science Fiction', 'Action', 'Adventure']","[878, 28, 12]",['Marvel Studios'],2019,4,Science Fiction,Action,Adventure,,
93,Maleficent: Mistress of Evil,420809,10/16/19,7.4,4334,473990832,110000000,"['Action', 'Drama', 'Thriller']","[28, 18, 53]","['New Line Cinema', 'Village Roadshow Pictures', 'Flynn Picture Company', 'Warner Bros. Pictures']",2019,10,Action,Drama,Thriller,,
94,It Chapter Two,474350,9/4/19,6.9,5866,473226958,80000000,"['Family', 'Animation', 'Comedy', 'Fantasy']","[10751, 16, 35, 14]","['Sony Pictures', 'Columbia Pictures', 'Sony Pictures Animation']",2019,9,Family,Animation,Comedy,Fantasy,
95,Pokémon Detective Pikachu,447404,5/3/19,7,4835,440603537,155000000,"['Science Fiction', 'Action', 'Thriller', 'Adventure']","[878, 28, 53, 12]","['Skydance Media', 'Paramount']",2019,5,Science Fiction,Action,Thriller,Adventure,
96,Alita: Battle Angel,399579,1/31/19,7.2,6491,378858340,150000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]","['Kennedy Miller Productions', 'Warner Bros. Pictures', 'RatPac-Dune Entertainment', 'Village Roadshow Pictures']",2019,1,Action,Adventure,Science Fiction,,
97,Godzilla: King of the Monsters,373571,5/29/19,6.7,4026,368871007,135000000,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']","[14, 35, 16, 878, 10751]",['DreamWorks Animation'],2019,5,Fantasy,Comedy,Animation,Science Fiction,Family
98,1917,530915,12/25/19,7.9,8025,332207671,175000000,"['Adventure', 'Animation', 'Family']","[12, 16, 10751]",['Pixar'],2019,12,Adventure,Animation,Family,,
